[37m2020-07-31 21:04:56,382:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 21:36:31,250:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 21:37:09,110:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 21:42:46,768:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 21:43:30,813:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 22:27:43,230:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-07-31 22:28:24,158:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-08-16 02:53:36,560:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-08-16 02:56:53,904:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-08-16 02:57:17,602:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
[37m2020-08-16 03:02:37,190:INFO:staticDataRequest:['first_query_hist_datas_ChartRange_EURUSD', 'first_query_hist_datas_ChartRange_OIL.WTI', 'first_query_hist_datas_ChartRange_GBPUSD', 'first_query_short_datas_ChartRange_EURUSD', 'first_query_short_datas_ChartRange_OIL.WTI', 'first_query_short_datas_ChartRange_GBPUSD', 'first_query_MarginTrade_EURUSD_1', 'first_query_MarginTrade_GBPUSD_1', 'first_query_UserData']
